english,luganda,source
The teacher is guilty of rape.,Omusomesa avunaanibwa gwa kusobya ku muntu.,kambale
She has a melodious voice.,Alina eddoboozi esseneekerevu.,kambale
This island borders Kenya and Uganda.,Ekizinga kino kiri ku nsalo ya Uganda ne Kenya.,kambale
The private sector is rich enough to fund individuals who represent its interests.,Abeekozesa bagagga ekimala okuvujjirira omuntu atuusa ebiteeso byabwe.,kambale
Employees are encouraged to take leave in order to improve their health.,Abakozi bakubirizibwa okugenda mu luwummula okusobola okutereeza obulamu bwabwe.,kambale
She is the happiest person I have ever seen in my life.,Ye muntu asingayo okuba omusanyufu gwe nnali ndabye mu bulamu bwange.,kambale
The Ugandan judiciary has been accused of massive corruption,Essiga lya Uganda eddamuzi ligambibwa okubaamu nnyo enguzi.,kambale
That was a sign that he believes there should be a democracy.,Ako kaali kabonero akalaga nti akkiriza nti wasaanidde okubaawo demokulasiya.,kambale
Young trees should properly be monitored for proper growth.,Emiti emito girina okulondoola ennyo okukula obulungi.,kambale
This situation should not be allowed to happen.,Embeera eno tesaanidde kukkirizibwa kubaawo.,kambale
It makes the streets feel safer and more secure especially for women.,Kifuula oluguudo okubeera olutebenkevu era olutaliiko bulabe naddala eri abakyala.,kambale
They constructed a new dormitory.,Baazibye ekisulo ekipya.,kambale
The national team lost the competition.,Ttiimu y'eggwanga yawangulwa.,kambale
They are extensively living a good life,Babeerera ddala mu bulamu obulungi ennyo,kambale
People still talk about him decades after his death.,Abantu bakyamwogerako wadde nga wayise emyaka mingi bukya afa.,kambale
The farmer has two children.,Omulimi alina abaana babiri.,kambale
On Christmas Day we celebrate the birth of Jesus Christ.,Ku lunaku lwa ssekukkulu tujaguza amazaalibwa ga Yesu Kristo.,kambale
The government needs to do more on ensuring rural education quality is stepped up.,Gavumenti erina okukola ennyo okulaba nti omutindo gw'okusoma mu byala gutumbulwa.,kambale
It is among the most important offices in the country.,Y'emu ku ofiisi ezisinga obukulu mu ggwanga.,kambale
The mayor gave the team a token of appreciation for winning the match yesterday.,Mmeeya yawadde ttiimu ekirabo ky'obugyebaza okuwngula omuzannyo eggulo.,kambale
Christians should embrace the gospel for it will change their lives.,Abakulisitaayo balina okwaniriza enjiri kuba ejja kukyusa obulamu bwabwe.,kambale
Cities attract developments like the construction of roads.,Ebibuga bisikiriza enkulaakulana ng'okuzimba enguudo.,kambale
My father is not in support of our relationship.,Kitange tawagira nkolagana yaffe.,kambale
Street children survive by begging and stealing.,Abaana b'oku nguudo babeerawo ku kusabiriza na kubba.,kambale
Not every legislator can be appointed to cabinet,Si buli mukiise nti alondebwa ku kakiiko ka Paalamenti.,kambale
You must invest in yourself.,Olina okweteekamu ssente.,kambale
Do you eat fish?,Olya ebyennyanja?,kambale
What is the role of a chief in the  subcounty?,Owessaza akola ki mu ggombolola?,kambale
The government will take over school construction.,Gavumenti ejja kweddiza okuzimba amasomero.,kambale
There was a photograph of our teacher in the newspaper today.,Mu mawulire ga leero mubaddemu ekifaananyi ky'omusomesa waffe.,kambale
He now faces charges of beating the police.,Kati avunaanibwa gwa kukuba bapoliisi.,kambale
Efforts are taking place to combat the ebola virus outbreak,Amaanyi weegali okumalawo okubalukawo kw'akawuka ka ebola.,kambale
Gamblers assert that betting is a source of income.,Abazannyi ba zzaala bagamba nti okusiba ku mizannyo nsibuko ya nsimbi.,kambale
The destruction of the environment affects the ecosystem and water retention.,Okusaanyaawo obutonde bw'ensi kikosa ebintu ebiberamu n'enkuuma y'amazzi.,kambale
During the dry season it is expensive to feed livestock.,Mu biseera by'ekyeya kya buseere okuliisa ebisolo.,kambale
Many markets have been constructed.,Obutale bungi buzimbiddwa.,kambale
The police fired bullets in the air to disperse the crowds.,Polliisi yakuba amasasi mu bbanga okusobola okugumbulula ekibiina ky'abantu.,kambale
Good quality work done speaks louder than the academic papers.,Omulimu gw'omutindo ogukoleddwa gusinga empapula z'obuyigirize.,kambale
People cut down trees for timber.,Abantu batema emiti okufuna embaawo.,kambale
He was using the government vehicle for personal jobs.,Yali akozesa mmotoka ya gavumenti ku mirimu egigye ku bubwe.,kambale
What are some of the most common words used in English?,Ebimu ku bigambo ebisinga okukozesebwa mu Lungereza bye biruwa?,kambale
All his company contacts were blocked.,Emikutu gya kampuni ye gyonna gyali giggaddwa.,kambale
The village has been infected with Ebola.,Wabaluseewo ekirwadde kya Ebola ku kyalo.,kambale
The government has allowed sports activities to resume.,Gavumenti ekkiriza eby'emizannyo okuddamu.,kambale
I gave two street children two thousand Ugandan shillings to buy food.,Nnawa abaana babiri ab'oku nguudo sillingi enkumi bbiri mu za Uganda bagulemu emmere.,kambale
A new health center is being built in the region.,Eddwaliro eppya lizimbibwa mu kitundu.,kambale
The district should provide enough water to facilitate handwashing exercise in the camp.,Disitulikiti erina okuteekawo amazzi agamala okunaaba mu ngalo mu nkambi.,kambale
The football team exited after its first loss.,Ttiimu y'omupiira yakyamuka oluvannyuma lw'okuwangulwa okwasooka.,kambale
These events have always come up during this time.,Emikolo gino gitera kubaawo mu kiseera nga kino.,kambale
He was fired from four different jobs in just six months.,Yagobwa ku mirimu ena egy'enjawulo mu myezi mukaaga gyokka.,kambale
The year has generally been tenuous for the East African Community.,Omwaka okutwaliza awamu gubadde muzibu eri omukago ogutaba ensuubulagana y'amawanga g'obuvanjuba bwa Afirika.,kambale
The first aid tent should be enlarged.,Walina okubaawo weema awafunirwa obujjanjabi obusookerwako ne ambyulensi okutambuza abalwadde.,kambale
The organization brings food items that the community cannot access.,Ekitongole kireeta emmere abantu gye batasobola kufuna.,kambale
Our president moves with cash-stuffed envelopes which he liberally hands over to people,Pulezidenti waffe atambula n'amabaasa agajjudde ssente g'awa abantu mu mateeka.,kambale
She holds very high expectations of the future.,Alina esuubi lya maanyi nnyo ku biseera eby'omu maaso.,kambale
He fought for the rights of the less privileged in this area.,Yalwanirira eddembe ly'abo abateesobola mu kitundu kino.,kambale
The accused was granted bail.,Avunaanibwa yateebwa ku kakalu ka kkooti.,kambale
He was very excited to see his brother.,Yasanyuka nnyo okulaba muganda we.,kambale
The land was given to the wrong person.,Ettaka lyaweebwa omuntu mukyamu.,kambale
She donated five thousand Ugandan shillings from her savings box to support the orphans.,Yawaayo siringi enkumi ttaano mu za Uganda okuva mu kasanduuko ke mw'atereka ssente ziyambe bamulekwa.,kambale
In the meeting the task force was encouraged to work harder.,Mu lukiiko akakiiko akakubirizi kaakubirizibwa okwongeramu amaanyi.,kambale
Go to every parish screening every single candidate for the upcoming elections.,Mugende mu buli kitundu nga musunsulamu abo abaneesimbawo mu kulonda okujja.,kambale
The president's convoy is heavily guarded.,Emmotoka eziwerekera pulezidenti zikuumibwa nnyo.,kambale
She doesn’t think about marriage.,Talowooza ku bufumbo.,kambale
A world of misinformation disinformation and misinformation is thus aided.,Obubaka obutali butuufu era nga bwabulimba awo nebuyambibwako.,kambale
I think there is no one who does not dream during his or her sleep.,Nze ndowooza nti tewali muntu ataloota nga yeebase.,kambale
The murderers are still unknown.,Abatemu tebannamanyika.,kambale
The health officers have extended testing and counselling services to the people.,Abasawo basembezza empeereza z'okukebera n'okubudaabuda eri abantu.,kambale
Christians are wondering why their leader was attacked.,Abakristaayo beebuuza ensonga lwaki omukulembeze waabwe yalumbiddwa.,kambale
This road is too small to handle the ever-increasing traffic.,Lino ekkubo funda nnyo era teriyinza kukozesebwa mmotoka zino zonna ezeeyongera obungi.,kambale
The government should improve the country's internal security.,Gavumenti esaanidde okutereeza eby'okwerinda by'eggwanga.,kambale
Since he had plenty of food during the lockdown he gave out some to the needy.,Okuva bwe yalina emmere nnyingi mu kiseera ky'omuggalo emu yagigabirako abaavu.,kambale
What will you eat for supper?,Ekyeggulo ojja kulya ki?,kambale
People who use water transport are sometimes affected by the weather.,Abantu abakozesa entambula y'oku mazzi ebiseera ebimu bakosebwa embeera y'obudde.,kambale
What time have you set your alarm?,Akade ko okateze kuvuga ssaawa mmeka?,kambale
Her grandfather was once the chairman of the village.,Jjajjawe omusajja yaliko ssentebe w'ekyalo.,kambale
He was not aware the party was holding primaries to choose flag bearers.,Yali takimanyi nti ekibiina kyali kitegese okulonda okw'okusunsulamu okusobola okulonda abo abanaakikwatira bbendera.,kambale
I want to charge my phone.,Essimu yange njagala kugissa ku muliro.,kambale
You have to belong to a savings group to receive money from the government.,Olina okubaako ekibiina mw'oli okusobola okufuna ssente okuva mu gavumenti.,kambale
I imagine living in a big mansion when I grow up.,Nkuba akafaananyi nga mbeera mu nnyumba ennene nga nkuze.,kambale
We watched the football game from the television.,Omupiira twagulabira ku ttivi.,kambale
Once charcoal usage stops there will be a decrease in deforestation.,Enkozesa y'amanda bweyimirira wajja kubeerawo okukendeera mu kusala emiti,kambale
It is good for a mother to plan for her pregnancy.,Kirungi maama okuteekerateekera olubuto lwe.,kambale
She goes to witch doctors.,Agenda mu basamize.,kambale
She lives in an incomplete house.,Abeera mu nnyumba ettannagwa.,kambale
Your people are at risk of forced eviction without another shelter.,Abantu bo boolekedde okugobwa basigale nga tebalina wa kusula.,kambale
Security operatives were arrested yesterday for killing a civilian.,Ab'ebyokwerinda baakwatiddwa eggulo olw'okutta omutuuze.,kambale
Which kind of music do you like most?,Kika kya nnyimba ki ky'osinga okwagala?,kambale
The church leader has called upon Ugandans to live peacefully with others.,Omukulembeze w'eddiini akubirizza Bannayuganda okukolagana mu mirembe.,kambale
She is researching the king's names.,Anoonyereza ku mannya ga kabaka.,kambale
People were called for job interviews.,Abantu baayitiddwa okugezesebwa ku mulimu.,kambale
Land must be legally registered in the names of the rightful owner.,Ettaka lirina okuwandiisibwa mu mateeka mu mannya ga nannyini lyo omutuufu.,kambale
Will our friendship be damaged if you don't get that job?,Omukwano gwaffe gunaakosebwa singa tofuna mulimu ogwo?,kambale
Do not believe every propaganda.,Tokkiririza mu buli kyogerebwa.,kambale
There should be a testing center for coronavirus at the airport.,Wasaanidde okuteekebwawo ekifo we bakeberera obulwadde bwa corona ku kisaawe ky'ennyonyi.,kambale
Some courses were removed.,Amasomo agamu gaggiddwawo.,kambale
The media is insightful.,Emikuttu gy'eby'empuliziganya gikunga.,kambale
Coronavirus cases and deaths have risen.,Abalina akawuka ka kolona n'abafa beeyongedde.,kambale
The new government will resolve internal conflicts.,Gavumenti empya ejja kugonjoola obukuubagano obwomunda.,kambale
He could not stand upright because of his aching back.,Yali tayinza kuyimirira butereevu olw'omugongo ogwali gumuluma.,kambale
Passengers were left stranded.,Abasaabaze baakonkomalidde ku nguudo.,kambale
Farmers lack pesticides and insecticides to control diseases.,Abalimi tebalina ddagala lya kufuuyira biwaka mu birime byabwe.,kambale
She was walking to the supermarket when a car knocked her.,Yabadde atambula ng'agenda ku ssemaduuka emmotoka n'emutomera.,kambale
Then comes the time when the audience is called to participate in on-the-spot skits using diverse techniques.,Kati ate ekiseera kituuka abantu ne basabibwa okuwa endowooza yaabwe naye nga babaguddeko bugwi.,kambale
We need to stop the habit of pushing young girls into marriage.,Twetaaga okukomya omuze gw'okusindiikiriza abawala abato mu bufumbo.,kambale
She lived alone in the village for many years.,Yabeera yekka ku kyalo okumala emyaka mingi.,kambale
This has greatly reduced the insecurity in the region.,Kino kikendeezezza nnyo obutali butebenkevu mu kitundu.,kambale
How often does the president address the nation?,Pulezidenti ayisaawo bbanga ki okwogera eri eggwanga?,kambale
The workers complained about a poor working environment.,Abakozi beemmulugunya olw'embeera embi gye bakoleramu.,kambale
Kojan and his colleagues at Alima visited hospitals in France and the United Kingdom.,Kojan ne banywanyi be nga bali mu Alima baakyalira amalwaliro mu Bufalansa ne mu Bungereza.,kambale
The Federal Communications Commission used its congressionally delegated authority to impose Fairness Doctrine rules.,Ekitongole eky'ebyempuliziganya kyakozesezza omuwendo ogw'ababaka okuteekesa obwenkanya n'amateeka.,kambale
Are you pregnant?,Oli lubuto?,kambale
They would pay higher charges per call.,Baba bajja kusasula ssente nnyingiko ku buli ssimu gye bakuba.,kambale
How can the younger generation be inspired?,Omugigi omuto guyinza kuzzibwamu gutya amaanyi?,kambale
Education helps to keep society stable.,Okusoma kuyamba okutebenkeza ekitundu.,kambale
